year,name,artists,album,popularity,release_date
2003,So Gone,Monica,After The Storm,64,2003
2003,Air Force Ones,"Nelly, Murphy Lee, Ali, Kyjuan",Nellyville,66,2002-06-25
2003,Unwell - 2007 Remaster,Matchbox Twenty,Exile on Mainstream,59,2007-10-02
2003,Holidae In,"Chingy, Ludacris, Snoop Dogg",Jackpot,61,2003-01-01
2003,Hit 'Em Up Style (Oops!),Blu Cantrell,So Blu,75,2001-01-18
2003,In Those Jeans,Ginuwine,The Senior,64,2003-04-08
2003,I Know What You Want (feat. Flipmode Squad),"Busta Rhymes, Mariah Carey, Flipmode Squad",It Ain't Safe No More. . .,73,2002-11-26
2003,How You Gonna Act Like That,Tyrese,I Wanna Go There,66,2002-12-01
2003,One Call Away,"Chingy, Jason Weaver",Jackpot,67,2003-01-01
2003,Say Yes,Floetry,Floetic,65,2002-01-01
2003,Baby Boy (feat. Beyoncé ),"Sean Paul, Beyoncé",Dutty Rock,3,2002-11-12
2003,Gossip Folks (feat. Ludacris),"Missy Elliott, Ludacris",Under Construction,61,2002-11-12
2003,What Was I Thinkin',Dierks Bentley,Dierks Bentley,73,2003-01-01
2003,Calling All Angels,Train,My Private Nation,60,2003-06-03
2003,Have You Forgotten?,Darryl Worley,Have You Forgotten?,50,2003-01-01
2003,"No Shoes, No Shirt, No Problems",Kenny Chesney,Greatest Hits II,51,2009-05-19
2003,Wanksta,50 Cent,Get Rich Or Die Tryin',65,2003-02-06
2003,Are You Happy Now?,Michelle Branch,Hotel Paper,55,2003-06-24
